timestamp_iso,icmp_host,icmp_avg_ms,icmp_loss_pct,speedtest_server,speedtest_latency_ms,download_mbps,upload_mbps,action_taken,post_speedtest_latency_ms,post_download_mbps,post_upload_mbps,note
2026-03-25T10:46:03,8.8.8.8,1008.7,0,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T10:47:57,8.8.8.8,1071.5,0,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T10:56:20,8.8.8.8,982.3,0,BRSK (London),1103.1,4.95,2.94,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:02:35,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T11:04:58,8.8.8.8,,,"Highline (Allen, KS)",874.3,2.52,2.81,PPP_RESET_SKIPPED_WINDOW,,,,[Below Threshold][Window Skip]
2026-03-25T11:08:35,8.8.8.8,,,"IdeaTek Telcom (Wichita, KS)",972.6,1.60,2.29,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:13:05,8.8.8.8,,,"IdeaTek Telcom (Wichita, KS)",878.2,1.47,2.06,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:15:10,8.8.8.8,,,"IdeaTek Telcom (Wichita, KS)",1017.0,2.22,2.30,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:21:17,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",1027.7,2.15,2.39,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:27:24,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",938.6,2.15,2.86,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:33:32,8.8.8.8,,,"Highline (Allen, KS)",988.4,1.92,2.62,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:39:36,8.8.8.8,,,"IdeaTek Telcom (Wichita, KS)",1187.5,1.86,1.18,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:45:42,8.8.8.8,,,"Kansas Research and Education Network (Wichita, KS)",972.1,2.27,2.41,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:51:48,8.8.8.8,,,"Highline (Allen, KS)",979.5,2.03,2.75,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:57:54,8.8.8.8,,,"IdeaTek Telcom (Wichita, KS)",460.5,2.62,3.78,NONE,,,,[Below Threshold][No Reset]
2026-03-25T12:01:22,8.8.8.8,952.5,0,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T12:21:57,8.8.8.8,920.3,0,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T12:26:15,8.8.8.8,911.3,0,"IdeaTek Telcom (Wichita, KS)",1085.4,2.38,1.13,NONE,,,,[Below Threshold][No Reset]
2026-03-25T12:32:39,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",919.9,2.18,1.73,NONE,,,,[Below Threshold][No Reset]
2026-03-25T12:38:45,8.8.8.8,,,"Kansas Research and Education Network (Wichita, KS)",517.3,7.72,3.59,NONE,,,,[Below Threshold][No Reset]
2026-03-25T12:44:48,8.8.8.8,,,"Highline (Allen, KS)",449.3,3.89,2.56,NONE,,,,[Below Threshold][No Reset]
2026-03-25T12:50:33,8.8.8.8,,,"Kansas Research and Education Network (Wichita, KS)",410.9,4.31,2.52,NONE,,,,[Below Threshold][No Reset]
2026-03-25T12:56:14,8.8.8.8,,,"Kansas Research and Education Network (Wichita, KS)",369.9,3.04,1.58,NONE,,,,[Below Threshold][No Reset]
2026-03-25T13:01:58,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T13:07:00,8.8.8.8,,,"Kansas Research and Education Network (Wichita, KS)",459.4,3.27,2.40,NONE,,,,[Below Threshold][No Reset]
2026-03-25T13:12:48,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",701.6,2.32,2.68,NONE,,,,[Below Threshold][No Reset]
2026-03-25T13:18:41,8.8.8.8,,,"Kansas Research and Education Network (Wichita, KS)",804.0,2.67,2.78,NONE,,,,[Below Threshold][No Reset]
2026-03-25T13:24:45,8.8.8.8,,,"IdeaTek Telcom (Wichita, KS)",194.0,5.15,4.79,NONE,,,,[Below Threshold][No Reset]
2026-03-25T13:30:22,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",253.6,4.51,2.35,NONE,,,,[Below Threshold][No Reset]
2026-03-25T13:36:18,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",802.2,4.22,3.30,NONE,,,,[Below Threshold][No Reset]
2026-03-25T13:42:13,8.8.8.8,,,"IdeaTek Telcom (Wichita, KS)",370.0,4.18,3.12,NONE,,,,[Below Threshold][No Reset]
2026-03-25T13:48:05,8.8.8.8,,,"IdeaTek Telcom (Wichita, KS)",333.1,8.93,4.06,NONE,,,,[Below Threshold][No Reset]
2026-03-25T13:53:40,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",382.2,7.62,3.17,NONE,,,,[Below Threshold][No Reset]
2026-03-25T13:59:22,8.8.8.8,,,"Kansas Research and Education Network (Wichita, KS)",427.0,6.75,4.97,NONE,,,,[Below Threshold][No Reset]
2026-03-25T14:05:15,8.8.8.8,,,"Mutual Telephone Company (McPherson, KS)",507.0,12.32,5.22,NONE,,,,[Below Threshold][No Reset]
2026-03-25T14:11:02,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",351.8,7.69,2.56,NONE,,,,[Below Threshold][No Reset]
2026-03-25T14:16:44,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",345.1,1.63,1.14,NONE,,,,[Below Threshold][No Reset]
2026-03-25T14:22:43,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",319.0,2.74,2.42,NONE,,,,[Below Threshold][No Reset]
2026-03-25T14:28:30,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",827.9,2.22,2.51,NONE,,,,[Below Threshold][No Reset]
2026-03-25T14:34:36,8.8.8.8,,,"Mutual Telephone Company (McPherson, KS)",456.0,5.40,4.29,NONE,,,,[Below Threshold][No Reset]
2026-03-25T14:40:26,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",823.3,2.80,3.04,NONE,,,,[Below Threshold][No Reset]
2026-03-25T14:46:31,8.8.8.8,,,"Mutual Telephone Company (McPherson, KS)",1024.4,1.27,3.82,NONE,,,,[Below Threshold][No Reset]
2026-03-25T14:52:42,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",660.2,1.75,2.93,NONE,,,,[Below Threshold][No Reset]
2026-03-25T14:58:43,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",780.5,2.96,1.71,NONE,,,,[Below Threshold][No Reset]
2026-03-25T15:04:45,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T15:09:48,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",440.3,14.94,3.49,NONE,,,,[Below Threshold][No Reset]
2026-03-25T15:15:58,8.8.8.8,,,"Mutual Telephone Company (McPherson, KS)",421.6,11.64,1.07,NONE,,,,[Below Threshold][No Reset]
2026-03-25T15:21:59,8.8.8.8,,,"Mutual Telephone Company (McPherson, KS)",115.6,20.84,2.74,NONE,,,,[Below Threshold][No Reset]
2026-03-25T15:27:45,8.8.8.8,,,"Mutual Telephone Company (McPherson, KS)",159.9,16.08,7.07,NONE,,,,[Below Threshold][No Reset]
2026-03-25T15:33:27,8.8.8.8,,,"Cunningham Fiber/North Central Kansas Community Network (Beloit, KS)",263.3,18.05,2.04,NONE,,,,[Below Threshold][No Reset]
2026-03-25T15:39:09,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",1028.7,2.88,2.63,NONE,,,,[Below Threshold][No Reset]
2026-03-25T15:45:12,8.8.8.8,,,"Cunningham Fiber/North Central Kansas Community Network (Beloit, KS)",910.4,2.38,2.47,NONE,,,,[Below Threshold][No Reset]
2026-03-25T15:51:21,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",479.9,20.28,3.57,NONE,,,,[Below Threshold][No Reset]
2026-03-25T15:57:27,8.8.8.8,,,"Mutual Telephone Company (McPherson, KS)",117.8,17.64,2.75,NONE,,,,[Below Threshold][No Reset]
2026-03-25T16:03:07,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T16:08:10,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",725.5,11.41,0.87,NONE,,,,[Below Threshold][No Reset]
2026-03-25T16:14:15,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",950.9,12.13,3.20,NONE,,,,[Below Threshold][No Reset]
2026-03-25T16:20:30,8.8.8.8,,,"Mutual Telephone Company (McPherson, KS)",115.4,2.01,1.73,NONE,,,,[Below Threshold][No Reset]
2026-03-25T16:26:18,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",693.0,2.69,3.00,NONE,,,,[Below Threshold][No Reset]
2026-03-25T16:32:27,8.8.8.8,,,"Cunningham Fiber/North Central Kansas Community Network (Beloit, KS)",976.5,2.53,2.69,NONE,,,,[Below Threshold][No Reset]
2026-03-25T16:38:39,8.8.8.8,,,"Mutual Telephone Company (McPherson, KS)",114.6,41.29,9.11,NONE,,,,[OK]
2026-03-25T16:44:10,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",352.7,16.20,7.38,NONE,,,,[Below Threshold][No Reset]
2026-03-25T16:50:00,8.8.8.8,,,"Cunningham Fiber/North Central Kansas Community Network (Beloit, KS)",117.7,2.74,2.49,NONE,,,,[Below Threshold][No Reset]
2026-03-25T16:55:40,8.8.8.8,,,"Mutual Telephone Company (McPherson, KS)",902.5,13.70,7.79,NONE,,,,[Below Threshold][No Reset]
2026-03-25T17:01:46,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T17:06:46,8.8.8.8,,,Vodafone UK (London),381.3,3.37,2.39,NONE,,,,[Below Threshold][No Reset]
2026-03-25T17:12:42,8.8.8.8,,,Vodafone UK (London),709.9,21.99,6.45,NONE,,,,[Below Threshold][No Reset]
2026-03-25T17:18:32,8.8.8.8,,,Burstfire Networks Ltd (London),12.4,10.29,1.09,NONE,,,,[Below Threshold][No Reset]
2026-03-25T17:23:59,8.8.8.8,,,Zen Internet (London),871.1,9.31,2.52,NONE,,,,[Below Threshold][No Reset]
2026-03-25T17:29:56,8.8.8.8,,,Vodafone UK (London),269.9,1.48,2.18,NONE,,,,[Below Threshold][No Reset]
2026-03-25T17:35:38,8.8.8.8,,,Burstfire Networks Ltd (London),174.0,4.26,2.25,NONE,,,,[Below Threshold][No Reset]
2026-03-25T17:41:30,8.8.8.8,,,Lightning Fibre Ltd (London),389.2,2.36,3.35,NONE,,,,[Below Threshold][No Reset]
2026-03-25T17:47:16,8.8.8.8,,,GSL Networks (London),510.6,1.50,3.56,NONE,,,,[Below Threshold][No Reset]
2026-03-25T17:53:09,8.8.8.8,,,Vodafone UK (London),374.1,2.00,2.17,NONE,,,,[Below Threshold][No Reset]
2026-03-25T17:59:02,8.8.8.8,,,Vodafone UK (London),928.5,5.54,1.88,NONE,,,,[Below Threshold][No Reset]
2026-03-25T18:05:01,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T18:10:02,8.8.8.8,,,Burstfire Networks Ltd (London),682.5,3.25,2.47,NONE,,,,[Below Threshold][No Reset]
2026-03-25T18:16:00,8.8.8.8,,,Zen Internet (London),1001.1,2.61,1.49,NONE,,,,[Below Threshold][No Reset]
2026-03-25T18:23:13,8.8.8.8,801.6,0,Zen Internet (London),495.1,5.39,3.63,NONE,,,,[Below Threshold][No Reset]
2026-03-25T18:29:15,8.8.8.8,,,Zen Internet (London),207.5,2.83,2.28,NONE,,,,[Below Threshold][No Reset]
2026-03-25T18:34:53,8.8.8.8,,,Burstfire Networks Ltd (London),830.9,2.64,1.88,NONE,,,,[Below Threshold][No Reset]
2026-03-25T18:40:53,8.8.8.8,,,Vodafone UK (London),11.9,9.24,1.78,NONE,,,,[Below Threshold][No Reset]
2026-03-25T18:46:17,8.8.8.8,,,Vodafone UK (London),1016.7,5.51,3.28,NONE,,,,[Below Threshold][No Reset]
2026-03-25T18:52:18,8.8.8.8,,,Vodafone UK (London),96.6,34.65,4.38,NONE,,,,[Below Threshold][No Reset]
2026-03-25T18:57:56,8.8.8.8,,,Vodafone UK (London),594.0,3.59,2.61,NONE,,,,[Below Threshold][No Reset]
2026-03-25T19:03:53,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T19:08:57,8.8.8.8,,,Zen Internet (London),23.6,10.27,2.60,NONE,,,,[Below Threshold][No Reset]
2026-03-25T19:14:22,8.8.8.8,,,Vodafone UK (London),611.4,3.68,2.43,NONE,,,,[Below Threshold][No Reset]
2026-03-25T19:20:10,8.8.8.8,,,Vodafone UK (London),193.6,28.34,5.47,NONE,,,,[Below Threshold][No Reset]
2026-03-25T19:25:50,8.8.8.8,,,Vodafone UK (London),567.3,3.17,2.13,NONE,,,,[Below Threshold][No Reset]
2026-03-25T19:31:52,8.8.8.8,,,Lightning Fibre Ltd (London),506.6,1.90,2.28,NONE,,,,[Below Threshold][No Reset]
2026-03-25T19:37:35,8.8.8.8,,,Burstfire Networks Ltd (London),620.4,32.68,8.99,NONE,,,,[Below Threshold][No Reset]
2026-03-25T19:43:33,8.8.8.8,,,Zen Internet (London),981.6,2.34,1.68,NONE,,,,[Below Threshold][No Reset]
2026-03-25T19:49:37,8.8.8.8,,,Lightning Fibre Ltd (London),449.7,3.68,4.95,NONE,,,,[Below Threshold][No Reset]
2026-03-25T19:55:29,8.8.8.8,,,Vodafone UK (London),1073.1,2.38,4.22,NONE,,,,[Below Threshold][No Reset]
2026-03-25T20:01:29,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T20:06:32,8.8.8.8,,,Zen Internet (London),182.8,1.91,2.08,NONE,,,,[Below Threshold][No Reset]
2026-03-25T20:12:13,8.8.8.8,,,Zen Internet (London),361.0,17.11,4.54,NONE,,,,[Below Threshold][No Reset]
2026-03-25T20:18:07,8.8.8.8,,,Zen Internet (London),945.2,2.48,1.31,NONE,,,,[Below Threshold][No Reset]
2026-03-25T20:24:10,8.8.8.8,,,Lightning Fibre Ltd (London),839.6,5.12,4.60,NONE,,,,[Below Threshold][No Reset]
2026-03-25T20:30:09,8.8.8.8,,,FibreNest (London),897.9,1.37,1.77,NONE,,,,[Below Threshold][No Reset]
2026-03-25T20:36:19,8.8.8.8,,,Zen Internet (London),343.2,5.83,4.62,NONE,,,,[Below Threshold][No Reset]
2026-03-25T20:42:07,8.8.8.8,,,FibreNest (London),493.7,4.32,3.03,NONE,,,,[Below Threshold][No Reset]
2026-03-25T20:47:57,8.8.8.8,,,Zen Internet (London),554.8,19.24,1.17,NONE,,,,[Below Threshold][No Reset]
2026-03-25T20:53:59,8.8.8.8,,,Zen Internet (London),166.2,18.18,1.35,NONE,,,,[Below Threshold][No Reset]
2026-03-25T20:59:44,8.8.8.8,,,FibreNest (London),835.8,2.35,3.49,NONE,,,,[Below Threshold][No Reset]
2026-03-25T21:05:44,8.8.8.8,,,FibreNest (London),639.7,8.64,3.21,NONE,,,,[Below Threshold][No Reset]
2026-03-25T21:11:43,8.8.8.8,,,YouFibre (London),287.6,11.87,2.83,NONE,,,,[Below Threshold][No Reset]
2026-03-25T21:17:27,8.8.8.8,,,Zen Internet (London),14.2,8.59,1.60,NONE,,,,[Below Threshold][No Reset]
2026-03-25T21:22:53,8.8.8.8,,,FibreNest (London),542.0,3.25,1.62,NONE,,,,[Below Threshold][No Reset]
2026-03-25T21:28:38,8.8.8.8,,,Zen Internet (London),129.8,11.12,2.71,NONE,,,,[Below Threshold][No Reset]
2026-03-25T21:34:26,8.8.8.8,,,Lightning Fibre Ltd (London),51.9,25.01,3.04,NONE,,,,[Below Threshold][No Reset]
2026-03-25T21:39:59,8.8.8.8,,,FibreNest (London),11.3,43.52,8.56,NONE,,,,[OK]
2026-03-25T21:45:24,8.8.8.8,,,Lightning Fibre Ltd (London),1000.8,1.04,1.69,NONE,,,,[Below Threshold][No Reset]
2026-03-25T21:51:25,8.8.8.8,,,Lightning Fibre Ltd (London),878.3,1.71,1.84,NONE,,,,[Below Threshold][No Reset]
2026-03-25T21:57:25,8.8.8.8,,,Lightning Fibre Ltd (London),372.9,1.72,2.08,NONE,,,,[Below Threshold][No Reset]
2026-03-25T22:03:12,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T22:08:14,8.8.8.8,,,Zen Internet (London),581.0,3.18,2.14,NONE,,,,[Below Threshold][No Reset]
2026-03-25T22:14:07,8.8.8.8,,,Lightning Fibre Ltd (London),895.1,3.59,2.51,NONE,,,,[Below Threshold][No Reset]
2026-03-25T22:20:06,8.8.8.8,,,GSL Networks (London),947.7,3.87,3.15,NONE,,,,[Below Threshold][No Reset]
2026-03-25T22:26:04,8.8.8.8,,,Zen Internet (London),905.0,3.37,2.33,NONE,,,,[Below Threshold][No Reset]
2026-03-25T22:32:04,8.8.8.8,,,Lightning Fibre Ltd (London),508.4,1.35,2.59,NONE,,,,[Below Threshold][No Reset]
2026-03-25T22:37:57,8.8.8.8,,,Zen Internet (London),772.7,7.23,2.88,NONE,,,,[Below Threshold][No Reset]
2026-03-25T22:43:50,8.8.8.8,,,Zen Internet (London),11.8,16.77,2.98,NONE,,,,[Below Threshold][No Reset]
2026-03-25T22:49:16,8.8.8.8,,,FibreNest (London),952.1,2.58,3.02,NONE,,,,[Below Threshold][No Reset]
2026-03-25T22:55:13,8.8.8.8,,,YouFibre (London),734.1,8.28,4.80,NONE,,,,[Below Threshold][No Reset]
2026-03-25T23:01:08,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T23:06:09,8.8.8.8,,,Lightning Fibre Ltd (London),336.6,3.21,3.24,NONE,,,,[Below Threshold][No Reset]
2026-03-25T23:11:49,8.8.8.8,,,YouFibre (London),496.4,14.16,3.93,NONE,,,,[Below Threshold][No Reset]
2026-03-25T23:17:37,8.8.8.8,,,FibreNest (London),484.2,11.77,2.89,NONE,,,,[Below Threshold][No Reset]
2026-03-25T23:23:31,8.8.8.8,,,UK Dedicated Servers (London),190.8,20.79,1.40,NONE,,,,[Below Threshold][No Reset]
2026-03-25T23:29:08,8.8.8.8,,,UK Dedicated Servers (London),11.0,26.60,1.88,NONE,,,,[Below Threshold][No Reset]
2026-03-25T23:34:51,8.8.8.8,,,UK Dedicated Servers (London),899.5,17.44,1.83,NONE,,,,[Below Threshold][No Reset]
2026-03-25T23:40:51,8.8.8.8,,,Lightning Fibre Ltd (London),465.3,1.93,2.67,NONE,,,,[Below Threshold][No Reset]
2026-03-25T23:46:33,8.8.8.8,,,FibreNest (London),604.2,4.22,3.40,NONE,,,,[Below Threshold][No Reset]
2026-03-25T23:52:25,8.8.8.8,,,YouFibre (London),372.7,12.23,2.06,NONE,,,,[Below Threshold][No Reset]
2026-03-25T23:58:13,8.8.8.8,,,UK Dedicated Servers (London),533.1,18.02,4.85,NONE,,,,[Below Threshold][No Reset]
2026-03-26T00:04:02,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-26T00:09:05,8.8.8.8,,,YouFibre (London),593.9,4.38,2.87,NONE,,,,[Below Threshold][No Reset]
2026-03-26T00:14:51,8.8.8.8,,,FibreNest (London),738.3,7.75,4.09,NONE,,,,[Below Threshold][No Reset]
2026-03-26T00:20:42,8.8.8.8,,,UK Dedicated Servers (London),82.4,3.00,2.11,NONE,,,,[Below Threshold][No Reset]
2026-03-26T00:26:14,8.8.8.8,,,UK Dedicated Servers (London),622.2,3.90,1.98,NONE,,,,[Below Threshold][No Reset]
2026-03-26T00:32:07,8.8.8.8,,,Lightning Fibre Ltd (London),705.3,1.46,2.44,NONE,,,,[Below Threshold][No Reset]
2026-03-26T00:37:59,8.8.8.8,,,FibreNest (London),680.9,4.18,1.74,NONE,,,,[Below Threshold][No Reset]
2026-03-26T00:43:50,8.8.8.8,,,Lightning Fibre Ltd (London),372.0,1.31,2.18,NONE,,,,[Below Threshold][No Reset]
2026-03-26T00:49:36,8.8.8.8,,,Lightning Fibre Ltd (London),682.0,2.78,3.57,NONE,,,,[Below Threshold][No Reset]
2026-03-26T00:55:31,8.8.8.8,,,Lightning Fibre Ltd (London),178.0,3.05,3.56,NONE,,,,[Below Threshold][No Reset]
2026-03-26T01:01:11,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-26T01:06:14,8.8.8.8,,,Lightning Fibre Ltd (London),401.7,2.03,2.20,NONE,,,,[Below Threshold][No Reset]
2026-03-26T01:11:54,8.8.8.8,,,FibreNest (London),408.9,13.37,3.79,NONE,,,,[Below Threshold][No Reset]
2026-03-26T01:17:37,8.8.8.8,,,YouFibre (London),341.6,14.49,3.43,NONE,,,,[Below Threshold][No Reset]
2026-03-26T01:23:14,8.8.8.8,,,UK Dedicated Servers (London),13.5,31.15,7.02,NONE,,,,[Below Threshold][No Reset]
2026-03-26T01:28:40,8.8.8.8,,,Lightning Fibre Ltd (London),328.9,2.50,2.51,NONE,,,,[Below Threshold][No Reset]
2026-03-26T01:34:16,8.8.8.8,,,UK Dedicated Servers (London),372.2,12.39,2.92,NONE,,,,[Below Threshold][No Reset]
2026-03-26T01:39:58,8.8.8.8,,,YouFibre (London),292.0,7.49,2.37,NONE,,,,[Below Threshold][No Reset]
2026-03-26T01:45:34,8.8.8.8,,,UK Dedicated Servers (London),109.6,19.63,6.05,NONE,,,,[Below Threshold][No Reset]
2026-03-26T01:51:02,8.8.8.8,,,UK Dedicated Servers (London),32.8,25.15,3.72,NONE,,,,[Below Threshold][No Reset]
2026-03-26T01:56:40,8.8.8.8,,,UK Dedicated Servers (London),929.0,2.49,2.02,NONE,,,,[Below Threshold][No Reset]
2026-03-26T02:02:40,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-26T02:07:43,8.8.8.8,,,Glide (London),1046.9,2.26,0.77,NONE,,,,[Below Threshold][No Reset]
2026-03-26T02:13:50,8.8.8.8,,,Zen Internet (London),1059.8,2.22,2.15,NONE,,,,[Below Threshold][No Reset]
2026-03-26T02:19:51,8.8.8.8,,,Zen Internet (London),541.4,2.20,2.21,NONE,,,,[Below Threshold][No Reset]
2026-03-26T02:25:51,8.8.8.8,,,Zen Internet (London),36.9,5.39,3.03,NONE,,,,[Below Threshold][No Reset]
2026-03-26T02:31:35,8.8.8.8,,,Zen Internet (London),990.0,2.54,2.29,NONE,,,,[Below Threshold][No Reset]
2026-03-26T02:37:34,8.8.8.8,,,Zen Internet (London),1022.4,2.15,1.68,NONE,,,,[Below Threshold][No Reset]
2026-03-26T02:43:37,8.8.8.8,,,Community Fibre Limited (London),18.8,7.99,2.06,NONE,,,,[Below Threshold][No Reset]
2026-03-26T02:49:04,8.8.8.8,,,Cybersmart Pty Ltd (London),982.9,2.10,1.32,NONE,,,,[Below Threshold][No Reset]
2026-03-26T02:55:12,8.8.8.8,,,Coreix Ltd (London),830.1,2.15,1.13,NONE,,,,[Below Threshold][No Reset]
2026-03-26T03:01:19,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-26T03:06:22,8.8.8.8,,,Zen Internet (London),683.0,2.43,1.51,NONE,,,,[Below Threshold][No Reset]
2026-03-26T03:12:23,8.8.8.8,,,Zen Internet (London),956.8,2.26,3.60,NONE,,,,[Below Threshold][No Reset]
2026-03-26T03:18:23,8.8.8.8,,,Coreix Ltd (London),869.8,2.52,2.95,NONE,,,,[Below Threshold][No Reset]
2026-03-26T03:24:21,8.8.8.8,,,Cybersmart Pty Ltd (London),987.1,2.16,1.47,NONE,,,,[Below Threshold][No Reset]
2026-03-26T03:30:31,8.8.8.8,,,Coreix Ltd (London),20.1,23.50,2.03,NONE,,,,[Below Threshold][No Reset]
2026-03-26T03:36:08,8.8.8.8,,,Coreix Ltd (London),965.9,2.01,1.68,NONE,,,,[Below Threshold][No Reset]
2026-03-26T03:42:18,8.8.8.8,,,Cybersmart Pty Ltd (London),697.9,2.94,2.34,NONE,,,,[Below Threshold][No Reset]
2026-03-26T03:48:18,8.8.8.8,,,Zen Internet (London),16.5,17.89,1.90,NONE,,,,[Below Threshold][No Reset]
2026-03-26T03:53:42,8.8.8.8,,,Cybersmart Pty Ltd (London),652.0,2.29,2.35,NONE,,,,[Below Threshold][No Reset]
2026-03-26T03:59:39,8.8.8.8,,,Zen Internet (London),869.8,3.68,2.02,NONE,,,,[Below Threshold][No Reset]
2026-03-26T04:05:43,8.8.8.8,,,Coreix Ltd (London),512.4,1.96,2.12,NONE,,,,[Below Threshold][No Reset]
2026-03-26T04:11:40,8.8.8.8,,,Glide (London),804.8,2.93,2.31,NONE,,,,[Below Threshold][No Reset]
2026-03-26T04:17:31,8.8.8.8,,,Zen Internet (London),998.2,2.53,1.18,NONE,,,,[Below Threshold][No Reset]
2026-03-26T04:23:42,8.8.8.8,,,Community Fibre Limited (London),980.2,2.80,2.93,NONE,,,,[Below Threshold][No Reset]
2026-03-26T04:29:40,8.8.8.8,,,Cybersmart Pty Ltd (London),962.8,2.20,2.09,NONE,,,,[Below Threshold][No Reset]
2026-03-26T04:35:43,8.8.8.8,,,Glide (London),966.9,2.52,1.83,NONE,,,,[Below Threshold][No Reset]
2026-03-26T04:41:39,8.8.8.8,,,Zen Internet (London),453.8,2.96,2.60,NONE,,,,[Below Threshold][No Reset]
